,2014,2012,2011,2010,2009,2008,2005,2000,1990,1970
Czech Republic,2.0,-.9,2.0,2.3,-4.8,2.7,6.4,4.3,,
El Salvador,2.0,1.9,2.2,1.4,-3.1,1.3,3.6,2.2,4.8,3.0
Chile,1.9,5.5,5.8,5.8,-1.0,3.3,5.6,4.5,3.7,2.1
Switzerland,1.9,1.1,1.8,3.0,-2.1,2.3,3.0,3.9,3.7,
Suriname,1.8,3.1,5.3,5.2,3.0,4.1,4.6,-.1,-.5,
Iceland,1.8,1.2,2.0,-3.6,-4.7,1.5,6.0,4.7,1.2,7.5
Montenegro,1.8,-2.7,3.2,2.5,-5.7,6.9,4.2,3.1,,
Germany,1.6,.4,3.7,4.1,-5.6,1.1,.7,3.0,5.3,
Belarus,1.6,1.7,5.5,7.7,.2,10.2,9.4,5.8,,
Bulgaria,1.5,.2,1.6,.1,-4.2,5.6,7.2,5.0,-9.1,
South Africa,1.5,2.2,3.2,3.0,-1.5,3.2,5.3,4.2,-.3,5.2
Solomon Islands,1.5,4.7,12.9,6.9,-4.7,7.1,5.4,-14.3,,
Spain,1.4,-2.6,-1.0,.0,-3.6,1.1,3.7,5.3,3.8,4.3
Belgium,1.3,.2,1.8,2.7,-2.3,.7,2.1,3.6,3.1,6.0
Afghanistan,1.3,14.4,6.1,8.4,21.0,3.6,11.2,,,
Samoa,1.2,.4,5.7,.5,-4.8,1.0,4.2,6.9,-4.4,
Denmark,1.1,-.7,1.2,1.6,-5.1,-.7,2.4,3.7,1.6,2.0
"Bahamas, The",1.0,2.2,.6,1.5,-4.2,-2.3,3.4,4.1,-1.6,-5.6
Netherlands,1.0,-1.1,1.7,1.4,-3.8,1.7,2.2,4.2,4.2,5.7
Central African Republic,1.0,4.1,3.3,3.0,1.7,2.1,.9,-2.5,-2.1,2.3
Portugal,.9,-4.0,-1.8,1.9,-3.0,.2,.8,3.8,4.0,12.6
Thailand,.9,7.3,.8,7.5,-.7,1.7,4.2,4.5,11.2,11.4
Trinidad and Tobago,.8,1.4,.0,-.1,-4.4,3.4,6.2,7.6,1.5,3.5
Bosnia and Herzegovina,.8,-1.2,1.0,.8,-2.7,5.6,5.0,5.5,,
Jamaica,.7,-.6,1.7,-1.5,-4.4,-.7,.9,.9,4.2,12.1
Greece,.7,-7.3,-9.1,-5.5,-4.3,-.3,.6,4.2,0.0,8.0
Russian Federation,.6,3.4,4.3,4.5,-7.8,5.2,6.4,10.0,-3.0,
St. Vincent and the Grenadines,.6,1.4,-.4,-3.4,-2.1,6.7,2.5,1.6,4.1,10.7
Liberia,.5,8.0,8.2,6.1,5.3,7.1,5.3,28.6,-51.0,6.7
St. Lucia,.5,-1.1,.7,-1.7,-.5,2.8,-.8,4.4,23.5,
Argentina,.5,.8,8.4,9.5,.1,3.1,9.2,-.8,-2.4,3.0
Guinea,.4,3.9,3.9,1.9,-.3,4.9,3.0,2.5,4.3,
Austria,.4,.8,2.8,1.9,-3.8,1.5,2.1,3.4,4.3,5.5
Barbados,.2,.3,.7,.3,-4.0,.4,4.0,4.5,-3.3,
France,.2,.2,2.1,2.0,-2.9,.2,1.6,3.9,2.9,5.7
Brazil,.1,1.8,3.9,7.6,-.2,5.0,3.1,4.4,-3.1,8.8
Japan,-.1,1.8,-.5,4.7,-5.5,-1.0,1.3,2.3,5.6,-1.0
Equatorial Guinea,-.3,5.8,1.9,-3.8,-4.5,9.9,16.7,18.2,-1.8,
"Macao SAR, China",-.4,9.2,21.3,27.5,1.7,3.4,8.6,5.7,8.0,
Croatia,-.4,-2.2,-.3,-1.7,-7.4,2.1,4.2,3.8,,
Finland,-.4,-1.4,2.6,3.0,-8.3,.7,2.8,5.6,.7,5.3
Italy,-.4,-2.8,.6,1.7,-5.5,-1.0,.9,3.7,2.0,5.3
Marshall Islands,-1.0,2.8,.2,4.1,-2.4,-1.9,2.8,5.9,2.7,
West Bank and Gaza,-1.5,14.3,7.9,2.3,20.9,-8.6,11.0,-9.9,,
Kuwait,-1.6,6.6,9.6,-2.4,-7.1,2.5,10.1,4.7,,3.2
Serbia,-1.8,-1.0,1.4,.6,-3.1,5.4,5.5,7.8,,
Iraq,-2.1,13.9,7.5,6.4,3.4,8.2,4.4,1.4,57.8,4.5
Cyprus,-2.3,-2.4,.3,1.4,-2.0,3.6,3.9,5.7,7.4,
Brunei Darussalam,-2.3,.9,3.4,2.6,-1.8,-1.9,.4,2.8,1.1,
"Micronesia, Fed. Sts.",-3.4,.6,2.1,2.5,1.0,-2.6,2.2,4.6,3.7,
"Venezuela, RB",-4.0,5.6,4.2,-1.5,-3.2,5.3,10.3,3.7,6.5,7.7
Ukraine,-6.8,.2,5.2,4.2,-14.8,2.3,2.7,5.9,-6.3,
Libya,-24.0,104.5,-62.1,5.0,-.8,2.7,11.9,3.7,,
Andorra,,-1.8,-4.8,-5.3,-3.8,-8.6,7.8,1.2,3.8,
Angola,,,,,,,,3.0,-.3,
Liechtenstein,,,,,-1.2,1.8,4.8,3.2,2.3,
Monaco,,,,,,10.0,1.9,3.9,2.6,
Malta,,1.1,1.4,4.3,-2.8,3.9,3.7,6.8,6.3,
Cuba,,3.0,2.8,2.4,1.4,4.1,11.2,5.9,-2.9,
Guyana,,4.8,5.4,4.4,3.3,2.0,-2.0,-1.4,-3.0,4.3
Eritrea,,,8.7,2.2,3.9,-9.8,2.6,-3.1,,
"Gambia, The",,5.9,-4.3,6.5,6.4,5.7,-.9,5.5,3.6,6.2
San Marino,,,,,,1.9,2.3,2.2,2.1,
Syrian Arab Republic,,,,,,,6.2,2.7,7.6,-3.8
"Yemen, Rep.",,2.5,-15.1,3.3,4.1,4.0,5.6,6.2,,
Somalia,,,,,,,,,-1.5,4.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
