Palau,16.4,18.2,18.8,19.4,20.1,20.7,22.9,26.8,36.1,
Brazil,16.4,16.0,16.2,16.6,17.2,18.1,21.9,32.0,60.8,133.5
Colombia,15.9,17.4,18.0,18.5,19.1,19.7,21.5,25.1,35.1,97.6
Moldova,15.8,16.7,16.9,17.2,17.4,17.7,19.7,31.3,33.1,
Jamaica,15.7,17.2,17.6,18.1,18.5,18.9,19.7,22.0,30.6,57.8
"Iran, Islamic Rep.",15.5,17.5,18.3,19.2,20.2,21.4,25.7,34.7,57.5,
"Venezuela, RB",14.9,16.1,16.4,16.6,16.8,17.1,18.5,21.7,29.6,62.6
Saudi Arabia,14.5,16.0,16.5,17.0,17.6,18.1,19.7,22.9,44.3,
St. Lucia,14.3,15.4,15.8,16.1,16.3,16.6,17.1,17.8,22.6,75.5
Armenia,14.1,16.3,17.2,18.0,19.0,20.0,23.4,30.1,49.8,
Kazakhstan,14.1,17.9,19.6,21.6,23.7,25.9,32.5,43.6,52.6,
Albania,14.0,15.5,16.0,16.6,17.3,17.9,20.5,26.2,40.6,
Tunisia,14.0,15.8,16.5,17.4,18.3,19.4,23.0,31.7,57.0,180.6
Seychelles,13.6,14.2,14.2,14.2,14.2,14.2,14.2,14.3,16.5,71.9
Mauritius,13.5,14.6,14.9,15.2,15.5,15.8,15.7,18.6,23.1,82.9
Turkey,13.5,16.5,17.8,19.1,20.6,22.2,27.7,39.6,74.5,186.9
Libya,13.4,15.1,17.6,16.6,17.6,18.8,23.1,28.1,41.6,137.8
Mexico,13.2,15.3,16.0,16.8,17.4,17.9,19.5,25.6,46.6,108.6
Barbados,13.0,14.1,14.4,14.7,15.1,15.4,16.5,16.3,17.9,48.1
Syrian Arab Republic,12.9,16.0,15.0,15.3,15.9,16.5,18.8,23.4,37.2,105.2
Argentina,12.5,13.8,14.2,14.6,15.0,15.4,17.1,20.2,27.6,72.4
Thailand,12.3,13.5,14.0,14.5,15.0,15.6,17.8,22.5,37.0,99.7
"Bahamas, The",12.1,13.2,13.5,13.9,14.2,14.5,15.3,15.7,23.5,30.6
Georgia,11.9,14.4,15.5,16.6,17.9,19.3,24.6,35.7,47.7,
Grenada,11.8,12.7,13.0,13.2,13.4,13.5,14.2,16.0,23.3,
Oman,11.6,11.6,11.6,11.7,11.7,11.9,12.7,16.6,39.4,227.6
Romania,11.1,12.5,13.2,13.9,14.9,16.1,20.9,26.9,37.7,65.6
